activity_period,operating_airline,operating_airline_iata_code,published_airline,published_airline_iata_code,geo_summary,geo_region,activity_type_code,price_category_code,terminal,boarding_area,passenger_count,adjusted_activity_type_code,year,month
201104,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7014,Enplaned,2011,April
200602,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,2862,Enplaned,2006,February
201402,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7861,Enplaned,2014,February
201202,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,6173,Enplaned,2012,February
201405,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,8038,Enplaned,2014,May
201212,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7467,Enplaned,2012,December
201103,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7188,Enplaned,2011,March
201401,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,9318,Enplaned,2014,January
200612,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,4805,Enplaned,2006,December
201503,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7836,Enplaned,2015,March
200801,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7603,Enplaned,2008,January
201208,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7975,Enplaned,2012,August
201507,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,10316,Deplaned,2015,July
200610,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,5855,Enplaned,2006,October
201502,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7023,Enplaned,2015,February
200802,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,5785,Enplaned,2008,February
200606,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,5920,Enplaned,2006,June
201409,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,8187,Enplaned,2014,September
201407,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,6916,Enplaned,2014,July
201311,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7814,Enplaned,2013,November
200510,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,4715,Enplaned,2005,October
200703,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,5902,Enplaned,2007,March
200906,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,5848,Enplaned,2009,June
200604,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,4728,Enplaned,2006,April
200804,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,6903,Enplaned,2008,April
200912,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,5448,Enplaned,2009,December
201602,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7731,Enplaned,2016,February
200605,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,5680,Enplaned,2006,May
201411,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,6666,Enplaned,2014,November
200904,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,5533,Enplaned,2009,April
201008,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7823,Enplaned,2010,August
201302,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,6652,Enplaned,2013,February
